disease_name,disease_id,ontology_prefix,display_group,relation,evidence_score,evidence_count,number_of_pmids,number_of_snps,disease_specificity_index,disease_pleiotropy_index,year_initial,year_final,direct_sources
measurement,EFO_0001444,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.5117945789700696,132,,,,,,,"[""OPEN_TARGETS""]"
protein measurement,EFO_0004747,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.476435750358249,23,,,,,,,"[""OPEN_TARGETS""]"
blood protein measurement,EFO_0007937,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.44326191701935347,6,,,,,,,"[""OPEN_TARGETS""]"
galectin-3 measurement,EFO_0008137,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.43841539145831326,5,,,,,,,"[""OPEN_TARGETS""]"
hematological measurement,EFO_0004503,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.4348340927377772,39,,,,,,,"[""OPEN_TARGETS""]"
phenotype,EFO_0000651,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.4018576630817705,1791,,,,,,,"[""OPEN_TARGETS""]"
musculoskeletal or connective tissue disease,OTAR_0000006,OTAR,disease / other candidate,ASSOCIATED_WITH,0.39357421378123847,722,,,,,,,"[""OPEN_TARGETS""]"
musculoskeletal system disease,EFO_0009676,EFO,disease / other candidate,ASSOCIATED_WITH,0.3935738935117794,708,,,,,,,"[""OPEN_TARGETS""]"
skeletal system disease,EFO_0002461,EFO,disease / other candidate,ASSOCIATED_WITH,0.3931452401606815,503,,,,,,,"[""OPEN_TARGETS""]"
bone disease,EFO_0004260,EFO,disease / other candidate,ASSOCIATED_WITH,0.39218909968764776,357,,,,,,,"[""OPEN_TARGETS""]"
connective tissue disease,EFO_1001986,EFO,disease / other candidate,ASSOCIATED_WITH,0.3907594034948736,339,,,,,,,"[""OPEN_TARGETS""]"
rheumatic disease,EFO_0005755,EFO,disease / other candidate,ASSOCIATED_WITH,0.38851013076906377,134,,,,,,,"[""OPEN_TARGETS""]"
bone inflammation disease,MONDO_0002614,MONDO,disease / other candidate,ASSOCIATED_WITH,0.38208212481142306,57,,,,,,,"[""OPEN_TARGETS""]"
joint disease,EFO_1000999,EFO,disease / other candidate,ASSOCIATED_WITH,0.38093526158706514,63,,,,,,,"[""OPEN_TARGETS""]"
arthritis,EFO_0005856,EFO,disease / other candidate,ASSOCIATED_WITH,0.38022970845088677,56,,,,,,,"[""OPEN_TARGETS""]"
complete blood cell count,EFO_0004586,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3723998800549377,12,,,,,,,"[""OPEN_TARGETS""]"
reticulocyte measurement,EFO_0010700,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3695041888579038,3,,,,,,,"[""OPEN_TARGETS""]"
eosinophil count,EFO_0004842,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.36553232502194843,10,,,,,,,"[""OPEN_TARGETS""]"
granulocyte count,EFO_0007987,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.36553232502194843,10,,,,,,,"[""OPEN_TARGETS""]"
eosinophil measurement,EFO_0803540,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.36553232502194843,10,,,,,,,"[""OPEN_TARGETS""]"
platelet volume,OBA_0003277,OBA,trait / measurement candidate,ASSOCIATED_WITH,0.3602420333792718,13,,,,,,,"[""OPEN_TARGETS""]"
osteoarthritis,MONDO_0005178,MONDO,disease / other candidate,ASSOCIATED_WITH,0.35842861577132934,30,,,,,,,"[""OPEN_TARGETS""]"
lipid measurement,EFO_0004529,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3343499918754995,3,,,,,,,"[""OPEN_TARGETS""]"
lipid or lipoprotein measurement,EFO_0005105,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3343499918754995,3,,,,,,,"[""OPEN_TARGETS""]"
eosinophil percentage of leukocytes,EFO_0007991,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.3132315923693628,3,,,,,,,"[""OPEN_TARGETS""]"
amount,PATO_0000070,PATO,trait / measurement candidate,ASSOCIATED_WITH,0.3009255437713684,2,,,,,,,"[""OPEN_TARGETS""]"
reticulocyte count,EFO_0007986,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.29136180195949174,1,,,,,,,"[""OPEN_TARGETS""]"
cardiovascular measurement,EFO_0004298,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.28956388097594205,5,,,,,,,"[""OPEN_TARGETS""]"
arterial stiffness measurement,EFO_0004517,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.28755300725270966,1,,,,,,,"[""OPEN_TARGETS""]"
cardiovascular disease biomarker measurement,EFO_0005278,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.28755300725270966,1,,,,,,,"[""OPEN_TARGETS""]"
high density lipoprotein cholesterol measurement,EFO_0004612,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.27147863714059084,1,,,,,,,"[""OPEN_TARGETS""]"
lipoprotein measurement,EFO_0004732,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.27147863714059084,1,,,,,,,"[""OPEN_TARGETS""]"
hemoglobin measurement,EFO_0004509,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.2631408716891897,11,,,,,,,"[""OPEN_TARGETS""]"
triglycerides:total lipids ratio,EFO_0020947,EFO,disease / other candidate,ASSOCIATED_WITH,0.24778962039278757,1,,,,,,,"[""OPEN_TARGETS""]"
chylomicron amount,OBA_2050296,OBA,trait / measurement candidate,ASSOCIATED_WITH,0.24778962039278757,1,,,,,,,"[""OPEN_TARGETS""]"
myeloid leukocyte count,OBA_2045223,OBA,trait / measurement candidate,ASSOCIATED_WITH,0.2125436935143232,1,,,,,,,"[""OPEN_TARGETS""]"
leukocyte quantity,OBA_VT0000217,OBA,disease / other candidate,ASSOCIATED_WITH,0.2125436935143232,1,,,,,,,"[""OPEN_TARGETS""]"
glucose measurement,EFO_0004468,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.20592006677202934,1,,,,,,,"[""OPEN_TARGETS""]"
HbA1c measurement,EFO_0004541,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.20592006677202934,1,,,,,,,"[""OPEN_TARGETS""]"
glycoprotein measurement,EFO_0004555,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.20592006677202934,1,,,,,,,"[""OPEN_TARGETS""]"
diabetes mellitus biomarker,EFO_0006842,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.20592006677202934,1,,,,,,,"[""OPEN_TARGETS""]"
heart rate,OBA_1001087,OBA,disease / other candidate,ASSOCIATED_WITH,0.20495459476868266,2,,,,,,,"[""OPEN_TARGETS""]"
platelet count,EFO_0004309,EFO,trait / measurement candidate,ASSOCIATED_WITH,0.2008018061830722,2,,,,,,,"[""OPEN_TARGETS""]"
platelet component distribution width,EFO_0007984,EFO,disease / other candidate,ASSOCIATED_WITH,0.1756238755055615,1,,,,,,,"[""OPEN_TARGETS""]"
Red cell distribution width,EFO_0009188,EFO,disease / other candidate,ASSOCIATED_WITH,0.16983666480363965,4,,,,,,,"[""OPEN_TARGETS""]"
cancer or benign tumor,MONDO_0045024,MONDO,disease / other candidate,ASSOCIATED_WITH,0.15773932213294165,6415,,,,,,,"[""OPEN_TARGETS""]"
neoplastic disease or syndrome,MONDO_0023370,MONDO,disease / other candidate,ASSOCIATED_WITH,0.15773907439892831,6379,,,,,,,"[""OPEN_TARGETS""]"
neoplasm,EFO_0000616,EFO,disease / other candidate,ASSOCIATED_WITH,0.15704739109995322,6317,,,,,,,"[""OPEN_TARGETS""]"
endocrine system disease,EFO_0001379,EFO,disease / other candidate,ASSOCIATED_WITH,0.15588759067113564,2256,,,,,,,"[""OPEN_TARGETS""]"
gastrointestinal disease,EFO_0010282,EFO,disease / other candidate,ASSOCIATED_WITH,0.15578012459845714,1280,,,,,,,"[""OPEN_TARGETS""]"
hepatobiliary disease,EFO_0010284,EFO,disease / other candidate,ASSOCIATED_WITH,0.15394822127595797,635,,,,,,,"[""OPEN_TARGETS""]"
liver disease,EFO_0001421,EFO,disease / other candidate,ASSOCIATED_WITH,0.15388694951014256,616,,,,,,,"[""OPEN_TARGETS""]"
cancer,MONDO_0004992,MONDO,disease / other candidate,ASSOCIATED_WITH,0.15264997723534238,3659,,,,,,,"[""OPEN_TARGETS""]"
digestive system neoplasm,EFO_0008549,EFO,disease / other candidate,ASSOCIATED_WITH,0.15200648627520397,701,,,,,,,"[""OPEN_TARGETS""]"
digestive system cancer,MONDO_0002516,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1511786946053101,576,,,,,,,"[""OPEN_TARGETS""]"
"genetic, familial or congenital disease",OTAR_0000018,OTAR,disease / other candidate,ASSOCIATED_WITH,0.15044969606038616,1628,,,,,,,"[""OPEN_TARGETS""]"
genetic disorder,EFO_0000508,EFO,disease / other candidate,ASSOCIATED_WITH,0.15031119869284756,1588,,,,,,,"[""OPEN_TARGETS""]"
endocrine neoplasm,EFO_0003769,EFO,disease / other candidate,ASSOCIATED_WITH,0.14926350386463888,1024,,,,,,,"[""OPEN_TARGETS""]"
malignant endocrine neoplasm,MONDO_0021069,MONDO,disease / other candidate,ASSOCIATED_WITH,0.14870208547022118,731,,,,,,,"[""OPEN_TARGETS""]"
Hepatobiliary Neoplasm,EFO_0008550,EFO,disease / other candidate,ASSOCIATED_WITH,0.1483016058905332,258,,,,,,,"[""OPEN_TARGETS""]"
liver and intrahepatic bile duct neoplasm,MONDO_0024477,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1483016058905332,258,,,,,,,"[""OPEN_TARGETS""]"
liver cancer,MONDO_0002691,MONDO,disease / other candidate,ASSOCIATED_WITH,0.1476037833569547,191,,,,,,,"[""OPEN_TARGETS""]"
immune system disease,EFO_0000540,EFO,disease / other candidate,ASSOCIATED_WITH,0.1472855172043362,1021,,,,,,,"[""OPEN_TARGETS""]"
epithelial neoplasm,EFO_0006858,EFO,disease / other candidate,ASSOCIATED_WITH,0.1452378335083822,1666,,,,,,,"[""OPEN_TARGETS""]"
carcinoma,EFO_0000313,EFO,disease / other candidate,ASSOCIATED_WITH,0.14516800769114488,1464,,,,,,,"[""OPEN_TARGETS""]"
