gene_id,gene_name,shared_processes,gene_processes,lgals3_processes,jaccard_similarity
ENSG00000179409,gem nuclear organelle associated protein 4,2,4,27,0.06896551724137931
ENSG00000074201,chloride nucleotide-sensitive channel 1A,2,7,27,0.0625
ENSG00000125835,small nuclear ribonucleoprotein polypeptides B and B1,2,7,27,0.0625
ENSG00000204475,natural cytotoxicity triggering receptor 3,2,8,27,0.06060606060606061
ENSG00000013725,CD6 molecule,2,11,27,0.05555555555555555
ENSG00000135316,synaptotagmin binding cytoplasmic RNA interacting protein,2,11,27,0.05555555555555555
ENSG00000135404,CD63 molecule,2,16,27,0.04878048780487805
ENSG00000164509,interleukin 31 receptor A,2,19,27,0.045454545454545456
ENSG00000149177,protein tyrosine phosphatase receptor type J,3,45,27,0.043478260869565216
ENSG00000139370,solute carrier family 15 member 4,2,21,27,0.043478260869565216
ENSG00000169896,integrin subunit alpha M,2,28,27,0.03773584905660377
ENSG00000138398,peptidylprolyl isomerase G,1,2,27,0.03571428571428571
ENSG00000143226,Fc gamma receptor IIa,1,6,27,0.03125
ENSG00000138279,annexin A7,1,6,27,0.03125
ENSG00000196628,transcription factor 4,1,7,27,0.030303030303030304
ENSG00000105392,cone-rod homeobox,1,8,27,0.029411764705882353
ENSG00000158270,collectin subfamily member 12,1,8,27,0.029411764705882353
ENSG00000104852,small nuclear ribonucleoprotein U1 subunit 70,1,9,27,0.02857142857142857
ENSG00000170017,activated leukocyte cell adhesion molecule,1,10,27,0.027777777777777776
ENSG00000173546,chondroitin sulfate proteoglycan 4,1,11,27,0.02702702702702703
ENSG00000168961,galectin 9,2,52,27,0.025974025974025976
ENSG00000213949,integrin subunit alpha 1,1,13,27,0.02564102564102564
ENSG00000100097,galectin 1,1,13,27,0.02564102564102564
ENSG00000198925,autophagy related 9A,1,14,27,0.025
ENSG00000116954,Ras related GTP binding C,1,25,27,0.0196078431372549
ENSG00000072274,transferrin receptor,1,34,27,0.016666666666666666
ENSG00000058668,ATPase plasma membrane Ca2+ transporting 4,1,35,27,0.01639344262295082
